# generated_at: 2025-08-14T23:25:59.310425
# total_records: 7
# date_range: 2025-08-14 to 2025-08-20
# locations: 1 unique location(s)
# data_source: open-meteo
# format_version: 1.0
# columns: ['date', 'last_updated', 'measurement_time', 'latitude', 'longitude', 'timezone', 'elevation', 'current_temp_c', 'current_condition', 'wind_kph', 'wind_dir', 'forecast_max_temp', 'forecast_min_temp', 'precipitation_mm', 'uv_index', 'weather_code', 'forecast_condition', 'pm2_5', 'pm10', 'us_aqi', 'european_aqi', 'aqi_category', 'data_source', 'created_at']
#
date,last_updated,measurement_time,latitude,longitude,timezone,elevation,current_temp_c,current_condition,wind_kph,wind_dir,forecast_max_temp,forecast_min_temp,precipitation_mm,uv_index,weather_code,forecast_condition,pm2_5,pm10,us_aqi,european_aqi,aqi_category,data_source,created_at
2025-08-14,2025-08-14T17:40:59.261224,2025-08-18T23:00,51.5,-0.120000124,Europe/London,16.0,26.5,Partly cloudy,12.5,SW,27.6,16.9,0.0,5.9,3,Overcast,6.9,9.0,39,29,Good,open-meteo,2025-08-14T17:40:59.261224
2025-08-15,2025-08-14T17:40:59.261224,2025-08-18T23:00,51.5,-0.120000124,Europe/London,16.0,26.5,Partly cloudy,12.5,SW,29.2,18.9,0.0,6.1,3,Overcast,6.9,9.0,39,29,Good,open-meteo,2025-08-14T17:40:59.261224
2025-08-16,2025-08-14T17:40:59.261224,2025-08-18T23:00,51.5,-0.120000124,Europe/London,16.0,26.5,Partly cloudy,12.5,SW,25.1,17.4,0.0,6.05,3,Overcast,6.9,9.0,39,29,Good,open-meteo,2025-08-14T17:40:59.261224
2025-08-17,2025-08-14T17:40:59.261224,2025-08-18T23:00,51.5,-0.120000124,Europe/London,16.0,26.5,Partly cloudy,12.5,SW,23.3,13.8,0.0,6.05,2,Partly cloudy,6.9,9.0,39,29,Good,open-meteo,2025-08-14T17:40:59.261224
2025-08-18,2025-08-14T17:40:59.261224,2025-08-18T23:00,51.5,-0.120000124,Europe/London,16.0,26.5,Partly cloudy,12.5,SW,25.5,16.4,0.0,6.0,3,Overcast,6.9,9.0,39,29,Good,open-meteo,2025-08-14T17:40:59.261224
2025-08-19,2025-08-14T17:40:59.261224,2025-08-18T23:00,51.5,-0.120000124,Europe/London,16.0,26.5,Partly cloudy,12.5,SW,24.9,14.9,0.0,5.65,3,Overcast,6.9,9.0,39,29,Good,open-meteo,2025-08-14T17:40:59.261224
2025-08-20,2025-08-14T17:40:59.261224,2025-08-18T23:00,51.5,-0.120000124,Europe/London,16.0,26.5,Partly cloudy,12.5,SW,20.8,15.5,0.0,5.55,3,Overcast,6.9,9.0,39,29,Good,open-meteo,2025-08-14T17:40:59.261224
