# generated_at: 2025-08-14T22:24:50.257794
# total_records: 7
# date_range: 2025-08-14 to 2025-08-20
# locations: 1 unique location(s)
# data_source: open-meteo
# format_version: 1.0
# columns: ['date', 'last_updated', 'measurement_time', 'latitude', 'longitude', 'timezone', 'elevation', 'current_temp_c', 'current_condition', 'wind_kph', 'wind_dir', 'forecast_max_temp', 'forecast_min_temp', 'precipitation_mm', 'uv_index', 'weather_code', 'forecast_condition', 'pm2_5', 'pm10', 'us_aqi', 'european_aqi', 'aqi_category', 'data_source', 'created_at']
#
date,last_updated,measurement_time,latitude,longitude,timezone,elevation,current_temp_c,current_condition,wind_kph,wind_dir,forecast_max_temp,forecast_min_temp,precipitation_mm,uv_index,weather_code,forecast_condition,pm2_5,pm10,us_aqi,european_aqi,aqi_category,data_source,created_at
2025-08-14,2025-08-14T16:39:50.220092,2025-08-18T23:00,26.75,87.375,Asia/Kathmandu,374.0,27.4,Mainly clear,4.1,NE,32.9,25.4,0.0,8.45,3,Overcast,25.2,25.7,59,33,Moderate,open-meteo,2025-08-14T16:39:50.220092
2025-08-15,2025-08-14T16:39:50.220092,2025-08-18T23:00,26.75,87.375,Asia/Kathmandu,374.0,27.4,Mainly clear,4.1,NE,33.1,26.2,0.1,8.55,3,Overcast,25.2,25.7,59,33,Moderate,open-meteo,2025-08-14T16:39:50.220092
2025-08-16,2025-08-14T16:39:50.220092,2025-08-18T23:00,26.75,87.375,Asia/Kathmandu,374.0,27.4,Mainly clear,4.1,NE,33.6,26.3,3.3,7.5,3,Overcast,25.2,25.7,59,33,Moderate,open-meteo,2025-08-14T16:39:50.220092
2025-08-17,2025-08-14T16:39:50.220092,2025-08-18T23:00,26.75,87.375,Asia/Kathmandu,374.0,27.4,Mainly clear,4.1,NE,34.6,26.9,7.5,7.35,96,Thunderstorm with slight hail,25.2,25.7,59,33,Moderate,open-meteo,2025-08-14T16:39:50.220092
2025-08-18,2025-08-14T16:39:50.220092,2025-08-18T23:00,26.75,87.375,Asia/Kathmandu,374.0,27.4,Mainly clear,4.1,NE,31.6,26.6,12.0,8.55,95,Thunderstorm,25.2,25.7,59,33,Moderate,open-meteo,2025-08-14T16:39:50.220092
2025-08-19,2025-08-14T16:39:50.220092,2025-08-18T23:00,26.75,87.375,Asia/Kathmandu,374.0,27.4,Mainly clear,4.1,NE,32.0,26.1,0.3,8.3,3,Overcast,25.2,25.7,59,33,Moderate,open-meteo,2025-08-14T16:39:50.220092
2025-08-20,2025-08-14T16:39:50.220092,2025-08-18T23:00,26.75,87.375,Asia/Kathmandu,374.0,27.4,Mainly clear,4.1,NE,32.9,26.3,1.5,8.0,80,Slight rain showers,25.2,25.7,59,33,Moderate,open-meteo,2025-08-14T16:39:50.220092
