# generated_at: 2025-07-29T13:43:42.460648
# total_records: 7
# date_range: 2025-07-29 to 2025-08-04
# locations: 1 unique location(s)
# data_source: open-meteo
# format_version: 1.0
# columns: ['date', 'last_updated', 'measurement_time', 'latitude', 'longitude', 'timezone', 'elevation', 'current_temp_c', 'current_condition', 'wind_kph', 'wind_dir', 'forecast_max_temp', 'forecast_min_temp', 'precipitation_mm', 'uv_index', 'weather_code', 'forecast_condition', 'pm2_5', 'pm10', 'us_aqi', 'european_aqi', 'aqi_category', 'data_source', 'created_at']
#
date,last_updated,measurement_time,latitude,longitude,timezone,elevation,current_temp_c,current_condition,wind_kph,wind_dir,forecast_max_temp,forecast_min_temp,precipitation_mm,uv_index,weather_code,forecast_condition,pm2_5,pm10,us_aqi,european_aqi,aqi_category,data_source,created_at
2025-07-29,2025-07-29T07:58:42.409687,2025-08-02T23:00,27.75,85.25,Asia/Kathmandu,1288.0,25.3,Slight rain showers,6.6,NW,25.4,21.1,4.9,4.2,80,Slight rain showers,0.0,0.0,0,0,Good,open-meteo,2025-07-29T07:58:42.409687
2025-07-30,2025-07-29T07:58:42.409687,2025-08-02T23:00,27.75,85.25,Asia/Kathmandu,1288.0,25.3,Slight rain showers,6.6,NW,25.7,21.4,21.5,7.2,96,Thunderstorm with slight hail,0.0,0.0,0,0,Good,open-meteo,2025-07-29T07:58:42.409687
2025-07-31,2025-07-29T07:58:42.409687,2025-08-02T23:00,27.75,85.25,Asia/Kathmandu,1288.0,25.3,Slight rain showers,6.6,NW,24.7,21.1,24.7,8.7,95,Thunderstorm,0.0,0.0,0,0,Good,open-meteo,2025-07-29T07:58:42.409687
2025-08-01,2025-07-29T07:58:42.409687,2025-08-02T23:00,27.75,85.25,Asia/Kathmandu,1288.0,25.3,Slight rain showers,6.6,NW,25.0,21.1,28.0,8.8,95,Thunderstorm,0.0,0.0,0,0,Good,open-meteo,2025-07-29T07:58:42.409687
2025-08-02,2025-07-29T07:58:42.409687,2025-08-02T23:00,27.75,85.25,Asia/Kathmandu,1288.0,25.3,Slight rain showers,6.6,NW,25.7,20.4,7.5,7.1,80,Slight rain showers,0.0,0.0,0,0,Good,open-meteo,2025-07-29T07:58:42.409687
2025-08-03,2025-07-29T07:58:42.409687,2025-08-02T23:00,27.75,85.25,Asia/Kathmandu,1288.0,25.3,Slight rain showers,6.6,NW,22.5,21.1,7.8,0.8,80,Slight rain showers,0.0,0.0,0,0,Good,open-meteo,2025-07-29T07:58:42.409687
2025-08-04,2025-07-29T07:58:42.409687,2025-08-02T23:00,27.75,85.25,Asia/Kathmandu,1288.0,25.3,Slight rain showers,6.6,NW,23.0,21.0,39.9,6.65,95,Thunderstorm,0.0,0.0,0,0,Good,open-meteo,2025-07-29T07:58:42.409687
