# generated_at: 2025-08-19T01:51:55.340234
# total_records: 14
# date_range: 2025-08-12 to 2025-08-25
# locations: 1 unique location(s)
# data_source: open-meteo
# format_version: 1.0
# columns: ['date', 'last_updated', 'measurement_time', 'latitude', 'longitude', 'timezone', 'elevation', 'current_temp_c', 'current_condition', 'wind_kph', 'wind_dir', 'forecast_max_temp', 'forecast_min_temp', 'precipitation_mm', 'uv_index', 'weather_code', 'forecast_condition', 'pm2_5', 'pm10', 'us_aqi', 'european_aqi', 'aqi_category', 'data_source', 'created_at']
#
date,last_updated,measurement_time,latitude,longitude,timezone,elevation,current_temp_c,current_condition,wind_kph,wind_dir,forecast_max_temp,forecast_min_temp,precipitation_mm,uv_index,weather_code,forecast_condition,pm2_5,pm10,us_aqi,european_aqi,aqi_category,data_source,created_at
2025-08-12,2025-08-18T20:06:55.296438,2025-08-23T23:00,27.75,85.25,Asia/Kathmandu,1288.0,21.5,Overcast,3.6,SE,27.3,21.2,4.0,8.6,95,Thunderstorm,0.0,0.0,0,0,Good,open-meteo,2025-08-18T20:06:55.296481
2025-08-13,2025-08-18T20:06:55.296502,2025-08-23T23:00,27.75,85.25,Asia/Kathmandu,1288.0,21.5,Overcast,3.6,SE,25.0,21.7,50.1,0.55,95,Thunderstorm,0.0,0.0,0,0,Good,open-meteo,2025-08-18T20:06:55.296530
2025-08-14,2025-08-18T20:06:55.296544,2025-08-23T23:00,27.75,85.25,Asia/Kathmandu,1288.0,21.5,Overcast,3.6,SE,22.6,20.7,5.9,1.6,95,Thunderstorm,0.0,0.0,0,0,Good,open-meteo,2025-08-18T20:06:55.296564
2025-08-15,2025-08-18T20:06:55.296574,2025-08-23T23:00,27.75,85.25,Asia/Kathmandu,1288.0,21.5,Overcast,3.6,SE,26.0,20.1,2.0,8.65,80,Slight rain showers,0.0,0.0,0,0,Good,open-meteo,2025-08-18T20:06:55.296592
2025-08-16,2025-08-18T20:06:55.296601,2025-08-23T23:00,27.75,85.25,Asia/Kathmandu,1288.0,21.5,Overcast,3.6,SE,27.2,20.3,19.7,8.3,96,Thunderstorm with slight hail,0.0,0.0,0,0,Good,open-meteo,2025-08-18T20:06:55.296620
2025-08-17,2025-08-18T20:06:55.296629,2025-08-23T23:00,27.75,85.25,Asia/Kathmandu,1288.0,21.5,Overcast,3.6,SE,27.3,21.8,22.3,8.75,96,Thunderstorm with slight hail,0.0,0.0,0,0,Good,open-meteo,2025-08-18T20:06:55.296646
2025-08-18,2025-08-18T20:06:55.296654,2025-08-23T23:00,27.75,85.25,Asia/Kathmandu,1288.0,21.5,Overcast,3.6,SE,27.0,20.7,18.9,8.75,96,Thunderstorm with slight hail,0.0,0.0,0,0,Good,open-meteo,2025-08-18T20:06:55.296671
2025-08-19,2025-08-18T20:06:55.296679,2025-08-23T23:00,27.75,85.25,Asia/Kathmandu,1288.0,21.5,Overcast,3.6,SE,26.6,20.9,16.7,8.2,96,Thunderstorm with slight hail,0.0,0.0,0,0,Good,open-meteo,2025-08-18T20:06:55.296695
2025-08-20,2025-08-18T20:06:55.296703,2025-08-23T23:00,27.75,85.25,Asia/Kathmandu,1288.0,21.5,Overcast,3.6,SE,26.5,20.5,11.2,8.2,95,Thunderstorm,0.0,0.0,0,0,Good,open-meteo,2025-08-18T20:06:55.296719
2025-08-21,2025-08-18T20:06:55.296728,2025-08-23T23:00,27.75,85.25,Asia/Kathmandu,1288.0,21.5,Overcast,3.6,SE,24.4,21.1,18.6,8.2,95,Thunderstorm,0.0,0.0,0,0,Good,open-meteo,2025-08-18T20:06:55.296744
2025-08-22,2025-08-18T20:06:55.296752,2025-08-23T23:00,27.75,85.25,Asia/Kathmandu,1288.0,21.5,Overcast,3.6,SE,22.1,20.5,30.6,8.05,95,Thunderstorm,0.0,0.0,0,0,Good,open-meteo,2025-08-18T20:06:55.296767
2025-08-23,2025-08-18T20:06:55.296776,2025-08-23T23:00,27.75,85.25,Asia/Kathmandu,1288.0,21.5,Overcast,3.6,SE,24.7,20.2,19.5,8.45,95,Thunderstorm,0.0,0.0,0,0,Good,open-meteo,2025-08-18T20:06:55.296792
2025-08-24,2025-08-18T20:06:55.296800,2025-08-23T23:00,27.75,85.25,Asia/Kathmandu,1288.0,21.5,Overcast,3.6,SE,24.0,20.6,21.6,7.7,95,Thunderstorm,0.0,0.0,0,0,Good,open-meteo,2025-08-18T20:06:55.296816
2025-08-25,2025-08-18T20:06:55.296824,2025-08-23T23:00,27.75,85.25,Asia/Kathmandu,1288.0,21.5,Overcast,3.6,SE,25.2,20.6,35.7,5.65,96,Thunderstorm with slight hail,0.0,0.0,0,0,Good,open-meteo,2025-08-18T20:06:55.296840
