# generated_at: 2025-08-14T07:48:08.512861
# total_records: 7
# date_range: 2025-08-13 to 2025-08-19
# locations: 1 unique location(s)
# data_source: open-meteo
# format_version: 1.0
# columns: ['date', 'last_updated', 'measurement_time', 'latitude', 'longitude', 'timezone', 'elevation', 'current_temp_c', 'current_condition', 'wind_kph', 'wind_dir', 'forecast_max_temp', 'forecast_min_temp', 'precipitation_mm', 'uv_index', 'weather_code', 'forecast_condition', 'pm2_5', 'pm10', 'us_aqi', 'european_aqi', 'aqi_category', 'data_source', 'created_at']
#
date,last_updated,measurement_time,latitude,longitude,timezone,elevation,current_temp_c,current_condition,wind_kph,wind_dir,forecast_max_temp,forecast_min_temp,precipitation_mm,uv_index,weather_code,forecast_condition,pm2_5,pm10,us_aqi,european_aqi,aqi_category,data_source,created_at
2025-08-13,2025-08-14T02:03:08.489094,2025-08-17T23:00,40.710335,-73.99309,America/New_York,27.0,23.6,Overcast,5.1,SW,32.0,22.7,17.8,7.35,65,Heavy rain,20.4,20.5,125,35,Unhealthy for Sensitive Groups,open-meteo,2025-08-14T02:03:08.489139
2025-08-14,2025-08-14T02:03:08.489149,2025-08-17T23:00,40.710335,-73.99309,America/New_York,27.0,23.6,Overcast,5.1,SW,31.8,22.3,0.0,7.1,3,Overcast,20.4,20.5,125,35,Unhealthy for Sensitive Groups,open-meteo,2025-08-14T02:03:08.489163
2025-08-15,2025-08-14T02:03:08.489169,2025-08-17T23:00,40.710335,-73.99309,America/New_York,27.0,23.6,Overcast,5.1,SW,31.7,21.8,0.0,7.25,3,Overcast,20.4,20.5,125,35,Unhealthy for Sensitive Groups,open-meteo,2025-08-14T02:03:08.489180
2025-08-16,2025-08-14T02:03:08.489184,2025-08-17T23:00,40.710335,-73.99309,America/New_York,27.0,23.6,Overcast,5.1,SW,25.8,23.0,0.0,7.25,3,Overcast,20.4,20.5,125,35,Unhealthy for Sensitive Groups,open-meteo,2025-08-14T02:03:08.489194
2025-08-17,2025-08-14T02:03:08.489201,2025-08-17T23:00,40.710335,-73.99309,America/New_York,27.0,23.6,Overcast,5.1,SW,30.1,22.2,1.6,7.25,53,Moderate drizzle,20.4,20.5,125,35,Unhealthy for Sensitive Groups,open-meteo,2025-08-14T02:03:08.489211
2025-08-18,2025-08-14T02:03:08.489220,2025-08-17T23:00,40.710335,-73.99309,America/New_York,27.0,23.6,Overcast,5.1,SW,26.9,22.0,0.6,3.2,53,Moderate drizzle,20.4,20.5,125,35,Unhealthy for Sensitive Groups,open-meteo,2025-08-14T02:03:08.489229
2025-08-19,2025-08-14T02:03:08.489233,2025-08-17T23:00,40.710335,-73.99309,America/New_York,27.0,23.6,Overcast,5.1,SW,24.3,21.7,1.2,3.95,51,Light drizzle,20.4,20.5,125,35,Unhealthy for Sensitive Groups,open-meteo,2025-08-14T02:03:08.489242
