# generated_at: 2025-08-12T22:39:57.428269
# total_records: 7
# date_range: 2025-08-12 to 2025-08-18
# locations: 1 unique location(s)
# data_source: open-meteo
# format_version: 1.0
# columns: ['date', 'last_updated', 'measurement_time', 'latitude', 'longitude', 'timezone', 'elevation', 'current_temp_c', 'current_condition', 'wind_kph', 'wind_dir', 'forecast_max_temp', 'forecast_min_temp', 'precipitation_mm', 'uv_index', 'weather_code', 'forecast_condition', 'pm2_5', 'pm10', 'us_aqi', 'european_aqi', 'aqi_category', 'data_source', 'created_at']
#
date,last_updated,measurement_time,latitude,longitude,timezone,elevation,current_temp_c,current_condition,wind_kph,wind_dir,forecast_max_temp,forecast_min_temp,precipitation_mm,uv_index,weather_code,forecast_condition,pm2_5,pm10,us_aqi,european_aqi,aqi_category,data_source,created_at
2025-08-12,2025-08-12T16:54:57.284908,2025-08-16T23:00,26.625,87.25,Asia/Kathmandu,118.0,26.6,Moderate rain showers,6.2,ESE,32.0,26.4,27.7,8.3,95,Thunderstorm,31.3,31.7,65,38,Moderate,open-meteo,2025-08-12T16:54:57.284908
2025-08-13,2025-08-12T16:54:57.284908,2025-08-16T23:00,26.625,87.25,Asia/Kathmandu,118.0,26.6,Moderate rain showers,6.2,ESE,27.3,25.4,81.7,4.1,95,Thunderstorm,31.3,31.7,65,38,Moderate,open-meteo,2025-08-12T16:54:57.284908
2025-08-14,2025-08-12T16:54:57.284908,2025-08-16T23:00,26.625,87.25,Asia/Kathmandu,118.0,26.6,Moderate rain showers,6.2,ESE,30.6,25.4,6.9,8.5,95,Thunderstorm,31.3,31.7,65,38,Moderate,open-meteo,2025-08-12T16:54:57.284908
2025-08-15,2025-08-12T16:54:57.284908,2025-08-16T23:00,26.625,87.25,Asia/Kathmandu,118.0,26.6,Moderate rain showers,6.2,ESE,34.0,25.4,0.0,8.05,3,Overcast,31.3,31.7,65,38,Moderate,open-meteo,2025-08-12T16:54:57.284908
2025-08-16,2025-08-12T16:54:57.284908,2025-08-16T23:00,26.625,87.25,Asia/Kathmandu,118.0,26.6,Moderate rain showers,6.2,ESE,35.0,25.7,1.5,8.2,2,Partly cloudy,31.3,31.7,65,38,Moderate,open-meteo,2025-08-12T16:54:57.284908
2025-08-17,2025-08-12T16:54:57.284908,2025-08-16T23:00,26.625,87.25,Asia/Kathmandu,118.0,26.6,Moderate rain showers,6.2,ESE,34.6,27.0,15.0,8.6,95,Thunderstorm,31.3,31.7,65,38,Moderate,open-meteo,2025-08-12T16:54:57.284908
2025-08-18,2025-08-12T16:54:57.284908,2025-08-16T23:00,26.625,87.25,Asia/Kathmandu,118.0,26.6,Moderate rain showers,6.2,ESE,32.6,25.9,16.5,7.95,95,Thunderstorm,31.3,31.7,65,38,Moderate,open-meteo,2025-08-12T16:54:57.284908
