# generated_at: 2025-08-12T01:48:23.581682
# total_records: 7
# date_range: 2025-08-11 to 2025-08-17
# locations: 1 unique location(s)
# data_source: open-meteo
# format_version: 1.0
# columns: ['date', 'last_updated', 'measurement_time', 'latitude', 'longitude', 'timezone', 'elevation', 'current_temp_c', 'current_condition', 'wind_kph', 'wind_dir', 'forecast_max_temp', 'forecast_min_temp', 'precipitation_mm', 'uv_index', 'weather_code', 'forecast_condition', 'pm2_5', 'pm10', 'us_aqi', 'european_aqi', 'aqi_category', 'data_source', 'created_at']
#
date,last_updated,measurement_time,latitude,longitude,timezone,elevation,current_temp_c,current_condition,wind_kph,wind_dir,forecast_max_temp,forecast_min_temp,precipitation_mm,uv_index,weather_code,forecast_condition,pm2_5,pm10,us_aqi,european_aqi,aqi_category,data_source,created_at
2025-08-11,2025-08-11T20:03:23.572818,2025-08-15T23:00,40.710335,-73.99309,America/New_York,27.0,31.0,Clear sky,13.4,SSE,31.2,20.1,0.0,7.35,0,Clear sky,0.0,0.0,0,0,Good,open-meteo,2025-08-11T20:03:23.572838
2025-08-12,2025-08-11T20:03:23.572846,2025-08-15T23:00,40.710335,-73.99309,America/New_York,27.0,31.0,Clear sky,13.4,SSE,31.8,19.7,0.0,7.35,3,Overcast,0.0,0.0,0,0,Good,open-meteo,2025-08-11T20:03:23.572856
2025-08-13,2025-08-11T20:03:23.572862,2025-08-15T23:00,40.710335,-73.99309,America/New_York,27.0,31.0,Clear sky,13.4,SSE,29.2,22.8,18.4,6.45,81,Moderate rain showers,0.0,0.0,0,0,Good,open-meteo,2025-08-11T20:03:23.572870
2025-08-14,2025-08-11T20:03:23.572875,2025-08-15T23:00,40.710335,-73.99309,America/New_York,27.0,31.0,Clear sky,13.4,SSE,32.4,24.5,0.0,7.3,3,Overcast,0.0,0.0,0,0,Good,open-meteo,2025-08-11T20:03:23.572884
2025-08-15,2025-08-11T20:03:23.572888,2025-08-15T23:00,40.710335,-73.99309,America/New_York,27.0,31.0,Clear sky,13.4,SSE,30.7,24.5,0.0,7.3,3,Overcast,0.0,0.0,0,0,Good,open-meteo,2025-08-11T20:03:23.572896
2025-08-16,2025-08-11T20:03:23.572901,2025-08-15T23:00,40.710335,-73.99309,America/New_York,27.0,31.0,Clear sky,13.4,SSE,27.1,23.5,0.0,7.05,1,Mainly clear,0.0,0.0,0,0,Good,open-meteo,2025-08-11T20:03:23.572909
2025-08-17,2025-08-11T20:03:23.572913,2025-08-15T23:00,40.710335,-73.99309,America/New_York,27.0,31.0,Clear sky,13.4,SSE,29.8,23.8,0.3,7.05,51,Light drizzle,0.0,0.0,0,0,Good,open-meteo,2025-08-11T20:03:23.572921
