# generated_at: 2025-08-14T23:50:34.365140
# total_records: 7
# date_range: 2025-08-14 to 2025-08-20
# locations: 1 unique location(s)
# data_source: open-meteo
# format_version: 1.0
# columns: ['date', 'last_updated', 'measurement_time', 'latitude', 'longitude', 'timezone', 'elevation', 'current_temp_c', 'current_condition', 'wind_kph', 'wind_dir', 'forecast_max_temp', 'forecast_min_temp', 'precipitation_mm', 'uv_index', 'weather_code', 'forecast_condition', 'pm2_5', 'pm10', 'us_aqi', 'european_aqi', 'aqi_category', 'data_source', 'created_at']
#
date,last_updated,measurement_time,latitude,longitude,timezone,elevation,current_temp_c,current_condition,wind_kph,wind_dir,forecast_max_temp,forecast_min_temp,precipitation_mm,uv_index,weather_code,forecast_condition,pm2_5,pm10,us_aqi,european_aqi,aqi_category,data_source,created_at
2025-08-14,2025-08-14T18:05:34.287655,2025-08-18T23:00,26.75,87.375,Asia/Kathmandu,374.0,26.8,Mainly clear,4.5,ENE,32.9,25.4,0.0,8.45,3,Overcast,25.2,25.7,59,33,Moderate,open-meteo,2025-08-14T18:05:34.288599
2025-08-15,2025-08-14T18:05:34.288599,2025-08-18T23:00,26.75,87.375,Asia/Kathmandu,374.0,26.8,Mainly clear,4.5,ENE,33.5,26.2,0.1,8.55,3,Overcast,25.2,25.7,59,33,Moderate,open-meteo,2025-08-14T18:05:34.288599
2025-08-16,2025-08-14T18:05:34.288599,2025-08-18T23:00,26.75,87.375,Asia/Kathmandu,374.0,26.8,Mainly clear,4.5,ENE,33.6,26.5,3.3,7.5,95,Thunderstorm,25.2,25.7,59,33,Moderate,open-meteo,2025-08-14T18:05:34.288599
2025-08-17,2025-08-14T18:05:34.288599,2025-08-18T23:00,26.75,87.375,Asia/Kathmandu,374.0,26.8,Mainly clear,4.5,ENE,34.1,26.8,7.5,7.35,95,Thunderstorm,25.2,25.7,59,33,Moderate,open-meteo,2025-08-14T18:05:34.288599
2025-08-18,2025-08-14T18:05:34.288599,2025-08-18T23:00,26.75,87.375,Asia/Kathmandu,374.0,26.8,Mainly clear,4.5,ENE,31.4,26.5,12.0,8.55,95,Thunderstorm,25.2,25.7,59,33,Moderate,open-meteo,2025-08-14T18:05:34.288599
2025-08-19,2025-08-14T18:05:34.288599,2025-08-18T23:00,26.75,87.375,Asia/Kathmandu,374.0,26.8,Mainly clear,4.5,ENE,31.8,26.2,0.3,8.3,3,Overcast,25.2,25.7,59,33,Moderate,open-meteo,2025-08-14T18:05:34.288599
2025-08-20,2025-08-14T18:05:34.288599,2025-08-18T23:00,26.75,87.375,Asia/Kathmandu,374.0,26.8,Mainly clear,4.5,ENE,31.6,26.2,1.5,8.0,80,Slight rain showers,25.2,25.7,59,33,Moderate,open-meteo,2025-08-14T18:05:34.288599
