date,latitude,longitude,timezone,last_updated,current_temp_c,current_condition,wind_kph,wind_dir,pm2_5,pm10,us_aqi,aqi_category,forecast_max_temp,forecast_min_temp,precipitation_mm,uv_index
2025-05-23,27.75,85.25,Asia/Kathmandu,2025-05-23T11:15,25.9,Overcast,1.3,NE,0,0,,Unknown,26.7,18.2,4.8,6.25
2025-05-24,27.75,85.25,Asia/Kathmandu,2025-05-23T11:15,25.9,Overcast,1.3,NE,0,0,,Unknown,23.7,19.1,10.6,8.4
2025-05-25,27.75,85.25,Asia/Kathmandu,2025-05-23T11:15,25.9,Overcast,1.3,NE,0,0,,Unknown,26.5,19.1,2.1,8.8
2025-05-26,27.75,85.25,Asia/Kathmandu,2025-05-23T11:15,25.9,Overcast,1.3,NE,0,0,,Unknown,26.6,19.2,7.9,8.95
2025-05-27,27.75,85.25,Asia/Kathmandu,2025-05-23T11:15,25.9,Overcast,1.3,NE,0,0,,Unknown,26.6,19.6,8.4,8.45
2025-05-28,27.75,85.25,Asia/Kathmandu,2025-05-23T11:15,25.9,Overcast,1.3,NE,0,0,,Unknown,26.9,20.5,15.9,7.9
2025-05-29,27.75,85.25,Asia/Kathmandu,2025-05-23T11:15,25.9,Overcast,1.3,NE,0,0,,Unknown,26.4,20.5,25.2,8.4
